Shape,A,d,tw,bf,tf,Zx
W10X60,17.7,10.2,0.42,10.1,0.68,74.6
W10X54,15.8,10.1,0.37,10.0,0.615,66.6
W10X49,14.4,10.0,0.34,10.0,0.56,60.4
W10X45,13.3,10.1,0.35,8.02,0.62,54.9
W10X39,11.5,9.92,0.315,7.99,0.53,46.8
W10X33,9.71,9.73,0.29,7.96,0.435,38.8
W10X30,8.84,10.5,0.3,5.81,0.51,36.6
W10X26,7.61,10.3,0.26,5.77,0.44,31.3
W10X22,6.49,10.2,0.24,5.75,0.36,26.0
W10X19,5.62,10.2,0.25,4.02,0.395,21.6
W10X17,4.99,10.1,0.24,4.01,0.33,18.7
W10X15,4.41,9.99,0.23,4.0,0.27,16.0
W10X12,3.54,9.87,0.19,3.96,0.21,12.6
W8X67,19.7,9.0,0.57,8.28,0.935,70.1
W8X58,17.1,8.75,0.51,8.22,0.81,59.8
W8X48,14.1,8.5,0.4,8.11,0.685,49.0
W8X40,11.7,8.25,0.36,8.07,0.56,39.8
W8X35,10.3,8.12,0.31,8.02,0.495,34.7
W8X31,9.13,8.0,0.285,8.0,0.435,30.4
W8X28,8.25,8.06,0.285,6.54,0.465,27.2
W8X24,7.08,7.93,0.245,6.5,0.4,23.1
W8X21,6.16,8.28,0.25,5.27,0.4,20.4
W8X18,5.26,8.14,0.23,5.25,0.33,17.0
W8X15,4.44,8.11,0.245,4.02,0.315,13.6
W8X13,3.84,7.99,0.23,4.0,0.255,11.4
W8X10,2.96,7.89,0.17,3.94,0.205,8.87
W6X25,7.34,6.38,0.32,6.08,0.455,18.9
W6X20,5.87,6.2,0.26,6.02,0.365,14.9
W6X15,4.43,5.99,0.23,5.99,0.26,10.8
W6X16,4.74,6.28,0.26,4.03,0.405,11.7
W6X12,3.55,6.03,0.23,4.0,0.28,8.3
W6X9,2.68,5.9,0.17,3.94,0.215,6.23
W6X8.5,2.52,5.83,0.17,3.94,0.195,5.73
W5X19,5.56,5.15,0.27,5.03,0.43,11.6
W5X16,4.71,5.01,0.24,5.0,0.36,9.63
W4X13,3.83,4.16,0.28,4.06,0.345,6.28
